tender,firm rut,buyer,select,offer send,value offer,offer open,offer close,dt_signature
2142-4-LQ18,76192428-1,61607002-9,0,2018-02-07,153149.25392,2018-01-25,2018-02-20,2018-03-10
1523-4-LE18,76192428-1,61602236-9,1,2018-02-09,16888.775,2018-01-27,2018-02-22,2018-03-15
2060-29-LE18,76192428-1,61602222-9,0,2018-02-05,21017.4,2018-01-22,2018-02-17,2018-03-10
4701-5-LE18,76192428-1,61607001-0,0,2018-02-21,38194.90752,2018-02-08,2018-03-06,2018-03-20
5184-22-LE18,76192428-1,61606917-9,0,2018-03-06,17619.8412,2018-02-21,2018-03-19,2018-04-05
1548-15-LE18,76192428-1,61607304-4,0,2018-07-10,22911.623408024,2018-06-26,2018-07-22,2018-08-09
912638-57-LQ18,76192428-1,61607301-K,1,2018-08-01,284752.007319216,2018-07-19,2018-08-14,2018-09-02
4346-6-LE18,76192428-1,61606912-8,0,2018-07-23,9354.42152,2018-07-10,2018-08-05,2018-08-25
1527-41-LE18,76192428-1,61607300-1,0,2018-09-12,4369.51856,2018-08-30,2018-09-25,2018-10-10
162-45-L118,76192428-1,61601000-K,0,2018-10-24,2450.04258816,2018-10-12,2018-11-07,2018-11-24
1057417-101-H219,76192428-1,61607301-K,1,2019-05-29,271358.857193154,2019-05-16,2019-06-11,2019-07-09
1057417-107-LQ19,76192428-1,61607301-K,1,2019-06-24,294071.90844828,2019-06-11,2019-07-07,2019-07-30
1057417-112-LQ19,76192428-1,61607301-K,1,2019-07-15,187504.3239204,2019-07-02,2019-07-28,2019-08-17
1057417-135-LE19,76192428-1,61607301-K,1,2019-07-02,37551.46014864,2019-06-19,2019-07-15,2019-08-01
2102-62-R119,76192428-1,61602212-1,0,2019-07-01,0,2019-06-18,2019-07-14,2019-08-04
1057417-103-LP20,76192428-1,61607301-K,1,2020-06-23,82778.07175,2020-06-10,2020-07-06,2020-07-22
1057509-117-LE20,76192428-1,61607001-0,1,2020-06-21,20778.73722,2020-06-08,2020-07-04,2020-07-26
1057509-166-LP20,76192428-1,61607001-0,1,2020-09-28,207871.20192,2020-09-15,2020-10-11,2020-10-30
1062448-25-LE19,76192458-3,61931800-5,1,2019-06-17,16968.135894,2019-06-04,2019-06-30,2019-07-27
1062448-48-LE19,76192458-3,61931800-5,1,2019-11-18,7286.370225,2019-11-05,2019-12-01,2019-12-21
5483-4-LQ21,76192570-9,61606100-3,1,2021-03-03,205704.043737615,2021-02-18,2021-03-16,2021-04-04
1655-12-LE18,76192805-8,61608605-7,0,2018-05-14,22628.39934648,2018-05-01,2018-05-27,2018-06-10
1497-28-L119,76193481-3,61601000-K,0,2019-09-16,4818.94,2019-09-03,2019-09-29,2019-10-19
1511-30-LE20,76193861-4,61606911-K,0,2020-05-04,45755.38,2020-04-21,2020-05-17,2020-06-06
1511-34-LE20,76193861-4,61606911-K,0,2020-05-04,24650.2,2020-04-23,2020-05-19,2020-06-08
1075963-171-LE20,76193861-4,61606001-5,0,2020-05-22,8440.15635,2020-05-09,2020-06-04,2020-06-24
608-110-LE20,76193861-4,61606602-1,0,2020-06-04,56978.407887,2020-05-26,2020-06-21,2020-07-16
608-112-LE20,76193861-4,61606602-1,0,2020-06-04,59973.0339,2020-05-26,2020-06-21,2020-07-13
1553-426-L118,76193973-4,61607502-0,1,2018-04-11,5779.15425,2018-03-29,2018-04-24,2018-05-12
1532-58-LE18,76194294-8,61933400-0,0,2018-10-16,14236.340568108,2018-10-03,2018-10-29,2018-11-24
1540-8-LE18,76194297-2,61607904-2,0,2018-01-31,9998.9256,2018-01-23,2018-02-18,2018-03-06
1398-5-LE18,76194531-9,61606800-8,1,2018-01-18,1203.05353105,2018-01-05,2018-01-31,2018-02-16
2122-26-L118,76194668-4,61601000-K,0,2018-04-11,1785.911944596,2018-03-29,2018-04-24,2018-05-09
2122-29-L118,76194668-4,61601000-K,0,2018-04-17,2358.702530832,2018-04-04,2018-04-30,2018-05-15
2122-33-L118,76194668-4,61601000-K,1,2018-05-22,1679.08450296,2018-05-09,2018-06-04,2018-06-24
2122-44-L118,76194668-4,61601000-K,0,2018-06-13,2176.00225008,2018-06-02,2018-06-28,2018-07-12
2204-28-LE18,76194668-4,61607302-8,0,2018-08-28,9933.10553577,2018-08-13,2018-09-08,2018-10-01
522-21-L118,76194668-4,61602152-4,0,2018-08-30,1999.67867553,2018-08-16,2018-09-11,2018-10-02
2122-73-L118,76194668-4,61601000-K,0,2018-10-23,1687.461648168,2018-10-05,2018-10-31,2018-11-23
522-34-LE18,76194668-4,61602152-4,0,2018-11-05,3591.07876776,2018-10-19,2018-11-14,2018-12-02
2207-344-L118,76194668-4,61602153-2,0,2018-11-13,1592.493103618,2018-11-01,2018-11-27,2018-12-18
2207-278-L119,76194668-4,61602153-2,1,2019-07-29,2118.164931684,2019-07-16,2019-08-11,2019-08-25
1557-46-L119,76194668-4,61606309-K,1,2019-12-03,1957.43613816,2019-11-20,2019-12-16,2020-01-04
1057384-6-L120,76194668-4,61606203-4,0,2020-01-29,2070.669014904,2020-01-14,2020-02-09,2020-02-28
1002772-24-LQ20,76194668-4,61608205-1,0,2020-04-14,328283.3896,2020-04-01,2020-04-27,2020-05-18
1075963-128-LE20,76194668-4,61606001-5,0,2020-04-14,46857.5394,2020-04-01,2020-04-27,2020-05-22
1511-30-LE20,76194668-4,61606911-K,0,2020-05-03,79758.17,2020-04-21,2020-05-17,2020-06-06
608-110-LE20,76194668-4,61606602-1,0,2020-06-07,56334.70323,2020-05-26,2020-06-21,2020-07-16
608-112-LE20,76194668-4,61606602-1,0,2020-06-07,101710.4058,2020-05-26,2020-06-21,2020-07-13
1057389-19-LQ20,76194668-4,61602229-6,0,2020-06-30,1201.87724057,2020-06-13,2020-07-09,2020-07-26
1057551-15-L120,76194668-4,61607507-1,0,2020-06-14,9613.565454,2020-06-02,2020-06-28,2020-07-17
1660-108-L120,76194668-4,61606408-8,0,2020-06-21,1718.74834382,2020-06-09,2020-07-05,2020-07-24
1660-120-L120,76194668-4,61606408-8,0,2020-07-30,4907.552736,2020-07-18,2020-08-13,2020-09-04
1057551-20-L120,76194668-4,61607507-1,0,2020-08-10,7801.56812,2020-07-28,2020-08-23,2020-09-12
1057655-3-L120,76194668-4,61606912-8,0,2020-09-30,4414.03199112,2020-09-17,2020-10-13,2020-10-31
1057551-24-L120,76194668-4,61607507-1,0,2020-10-06,10320.6043848,2020-09-23,2020-10-19,2020-11-10
635-134-L120,76194668-4,61606000-7,0,2020-12-20,11290.25317196,2020-12-07,2021-01-02,2021-01-16
2207-5-L121,76194668-4,61602153-2,0,2021-01-31,3522.794586336,2021-01-06,2021-02-01,2021-02-21
1057430-2-LE21,76194668-4,61602203-2,0,2021-01-26,1336.484249502,2021-01-12,2021-02-07,2021-03-02
1650-5-LE21,76194668-4,61602204-0,1,2021-02-03,3632.298201952,2021-01-21,2021-02-16,2021-03-03
1002772-7-LE21,76194668-4,61608205-1,0,2021-02-11,58766.401759,2021-01-28,2021-02-23,2021-03-19
1655-12-LE21,76194668-4,61608605-7,1,2021-02-09,18759.6968331,2021-01-27,2021-02-22,2021-03-12
1080089-18-L121,76194668-4,61607900-K,0,2021-02-10,6895.889556,2021-01-28,2021-02-23,2021-03-13
1002772-19-LE21,76194668-4,61608205-1,0,2021-03-02,27093.54713376,2021-02-17,2021-03-15,2021-04-08
635-29-LE21,76194668-4,61606000-7,0,2021-03-12,30524.47758196,2021-02-27,2021-03-25,2021-04-14
1383-10-L121,76194668-4,61602242-3,1,2021-04-25,1401.740399138,2021-04-12,2021-05-08,2021-06-02
1057492-50-LP21,76194668-4,61959800-8,0,2021-06-13,120257.7584,2021-06-01,2021-06-27,2021-07-17
1057543-40-LE21,76194668-4,61607201-3,0,2021-06-17,17470.257931704,2021-06-03,2021-06-29,2021-07-19
4127-12-LE21,76194668-4,61975700-9,0,2021-06-23,31743.204198,2021-06-10,2021-07-06,2021-07-25
1057500-63-L121,76194668-4,61608500-K,0,2021-09-08,18909.458825448,2021-08-21,2021-09-16,2021-10-06
1062448-22-L121,76194668-4,61931800-5,0,2021-09-16,3772.288381728,2021-09-02,2021-09-28,2021-10-17
2098-144-L121,76194668-4,61602211-3,0,2021-09-20,3877.9357215,2021-09-03,2021-09-29,2021-10-20
2270-22-LE18,76194948-9,61601000-K,0,2018-05-27,0,2018-05-15,2018-06-10,2018-06-27
2153-93-LP19,76195290-0,61608503-4,0,2019-12-11,73186.78223646,2019-11-28,2019-12-24,2020-01-10
4375-203-LE20,76195347-8,61602189-3,1,2020-11-02,51886.92,2020-10-20,2020-11-15,2020-12-05
502-95-LE18,76195421-0,61607202-1,1,2018-06-01,28031.952,2018-05-19,2018-06-14,2018-07-01
502-146-LE18,76195421-0,61607202-1,0,2018-10-04,23229.195,2018-09-21,2018-10-17,2018-11-07
1523-2-LP19,76195421-0,61602236-9,1,2019-01-31,52758.06876,2019-01-18,2019-02-13,2019-03-01
1523-32-LP19,76195421-0,61602236-9,1,2019-03-26,53621.529354348,2019-03-13,2019-04-08,2019-04-24
5349-42-LE19,76195421-0,61606303-0,1,2019-08-01,7394.79575,2019-07-19,2019-08-14,2019-09-06
1979-131-LE19,76195421-0,61607401-6,1,2019-10-27,12854.619984,2019-10-14,2019-11-09,2019-12-05
2207-376-L119,76195541-1,61602153-2,0,2019-10-24,4528.56,2019-10-11,2019-11-06,2019-11-25
2115-4-LE20,76195558-6,65061030-K,0,2020-02-21,17816.913614466,2020-02-08,2020-03-05,2020-03-27
1057402-72-LE19,76195624-8,61607901-8,1,2019-08-05,16504.7895,2019-07-23,2019-08-18,2019-09-06
1540-65-LE20,76195624-8,61607904-2,1,2020-06-16,3826.876905,2020-06-03,2020-06-29,2020-07-18
1080089-27-LE20,76195624-8,61607900-K,1,2020-10-08,2839.339402572,2020-09-25,2020-10-21,2020-11-09
1057402-258-LE20,76195624-8,61607901-8,1,2020-11-20,17585.175,2020-11-07,2020-12-03,2020-12-29
1057402-17-LP21,76195624-8,61607901-8,0,2021-02-15,68186.667014178,2021-02-02,2021-02-28,2021-03-16
1057402-113-LE21,76195624-8,61607901-8,0,2021-05-17,12853.40989575,2021-04-30,2021-05-26,2021-06-12
958479-19-LE21,76195624-8,61980720-0,0,2021-08-23,12744.489,2021-08-09,2021-09-04,2021-09-26
1947-57-LQ18,76195861-5,61608004-0,0,2018-05-10,32660.090177307,2018-04-27,2018-05-23,2018-06-11
956-51-LE18,76196275-2,61606500-9,0,2018-06-04,6090.15200052,2018-05-23,2018-06-18,2018-07-13
5624-13-LE19,76196296-5,61607200-5,0,2019-09-03,11708.565,2019-08-21,2019-09-16,2019-10-08
2099-14-L119,76196486-0,61601000-K,1,2019-04-02,4345.2267,2019-03-20,2019-04-15,2019-04-30
2099-28-L119,76196486-0,61601000-K,1,2019-07-09,5933.200697463,2019-06-26,2019-07-22,2019-08-14
1523-75-LQ18,76196593-K,61602236-9,0,2018-09-03,140171.1984,2018-08-17,2018-09-12,2018-10-02
1650-24-LE19,76196593-K,61602204-0,0,2019-08-09,12969.5928,2019-07-26,2019-08-21,2019-09-12
1057508-20-L119,76196750-9,61607000-2,1,2019-04-03,3371.70415,2019-03-21,2019-04-16,2019-05-02
1057508-79-L119,76196750-9,61607000-2,1,2019-09-03,3441.8272,2019-08-21,2019-09-16,2019-10-09
1057508-7-LP20,76196750-9,61607000-2,1,2020-02-11,94096.1669748,2020-01-29,2020-02-24,2020-03-17
1395-75-LQ21,76196823-8,61606400-2,0,2021-08-05,134028.68368,2021-07-23,2021-08-18,2021-09-11
1499-55-LQ18,76197538-2,61608402-K,1,2018-04-16,374257.83312,2018-04-03,2018-04-29,2018-05-21
1499-52-LQ19,76197538-2,61608402-K,1,2019-05-14,276686.1677568,2019-05-01,2019-05-27,2019-06-13
1511-59-L119,76197606-0,61606911-K,1,2019-10-29,4547.602137,2019-10-16,2019-11-11,2019-11-29
1464-67-LE20,76197758-K,61606918-7,1,2020-08-26,7181.53049032,2020-08-13,2020-09-08,2020-09-21
591-25-LP21,76197773-3,61603000-0,0,2021-09-15,51682.970345918,2021-09-02,2021-09-28,2021-10-16
775-48-LE18,76198064-5,61608600-6,0,2018-11-23,30846.39467625,2018-11-10,2018-12-06,2018-12-30
5463-31-LE18,76198064-5,61602121-4,0,2018-12-06,54187.968019338,2018-11-21,2018-12-17,2019-01-07
775-56-LE18,76198064-5,61608600-6,0,2019-01-10,49926.19836,2018-12-28,2019-01-23,2019-02-12
1642-22-LQ19,76198064-5,61602125-7,0,2019-10-07,165281.62608,2019-09-21,2019-10-17,2019-11-07
2201-1-LE21,76198064-5,61602117-6,0,2021-01-28,34545.5868262,2021-01-15,2021-02-10,2021-03-04
884-5-LQ18,76198494-2,61608500-K,0,2018-02-06,18827.2040723,2018-01-24,2018-02-19,2018-03-09
1398-25-LE20,76198737-2,61606800-8,0,2020-04-17,3054.8294976,2020-04-04,2020-04-30,2020-05-18
418-2-LE18,76198769-0,61602279-2,0,2018-01-29,44979.9395,2018-01-16,2018-02-11,2018-03-03
418-39-LP20,76198769-0,61602279-2,0,2021-01-12,256040.920583376,2020-12-30,2021-01-25,2021-02-11
1523-74-LE18,76198859-K,61602236-9,1,2018-08-24,50571.3468,2018-08-11,2018-09-06,2018-09-23
1523-63-LP19,76198859-K,61602236-9,1,2019-07-08,106484.5857,2019-06-25,2019-07-21,2019-08-06
1523-73-LP21,76198859-K,61602236-9,1,2021-07-15,98342.9679,2021-07-02,2021-07-28,2021-08-16
1057508-12-LE19,76198966-9,61607000-2,0,2019-03-26,56507.412642482,2019-03-13,2019-04-08,2019-04-22
2153-70-L119,76198985-5,61608503-4,0,2019-10-03,1982.5206124,2019-09-13,2019-10-09,2019-11-01
1947-148-LE18,76199233-3,61608004-0,0,2018-07-23,0,2018-07-07,2018-08-02,2018-08-25
1057480-10-LR20,76199233-3,61602123-0,0,2020-08-04,326306.7264,2020-07-24,2020-08-19,2020-09-10
1057049-302-LE20,76199233-3,61608604-9,1,2020-11-25,1278.64884,2020-11-12,2020-12-08,2020-12-27
2085-10-LE19,76199249-K,61602226-1,1,2019-04-03,9999.146125,2019-03-21,2019-04-16,2019-05-04
2085-24-L119,76199249-K,61602226-1,1,2019-07-12,6010.0767,2019-06-29,2019-07-25,2019-08-12
1398-60-L121,76199438-7,61606800-8,0,2021-07-19,2332.66835,2021-07-06,2021-08-01,2021-08-20
1613-8-L121,76199438-7,61603000-0,0,2021-08-10,3598.5918,2021-07-22,2021-08-17,2021-09-06
1075963-251-L121,76199438-7,61606001-5,1,2021-08-13,3124.0815,2021-07-31,2021-08-26,2021-09-10
2202-35-L121,76199438-7,61602241-5,1,2021-08-18,2739.2652,2021-08-05,2021-08-31,2021-09-22
635-123-L121,76199438-7,61606000-7,0,2021-08-23,3508.8978,2021-08-10,2021-09-05,2021-09-26
1175-118-L121,76199438-7,61607400-8,1,2021-09-03,4150.263430884,2021-08-21,2021-09-16,2021-10-07
2207-63-L121,76199438-7,61602153-2,0,2021-09-09,2731.3428,2021-08-27,2021-09-22,2021-10-13
2101-96-L121,76199438-7,61602213-K,0,2021-09-22,2310.22353,2021-09-09,2021-10-05,2021-10-27
924-53-L121,76199438-7,61601000-K,1,2021-10-07,3114.1785,2021-09-24,2021-10-20,2021-11-11
924-58-L121,76199438-7,61601000-K,0,2021-10-13,3411.4368,2021-09-30,2021-10-26,2021-11-10
2126-113-LP18,76199439-5,61606403-7,0,2018-08-13,108231.380808,2018-07-29,2018-08-24,2018-09-14
4968-12-LE18,76199986-9,61606604-8,0,2018-03-05,26020.70947371,2018-02-20,2018-03-18,2018-04-06
1155-5-LE18,76199986-9,61602057-9,0,2018-02-26,7790.18704032,2018-02-13,2018-03-11,2018-04-09
1155-49-LE18,76199986-9,61602057-9,0,2018-07-17,13935.782456046,2018-06-30,2018-07-26,2018-08-18
873299-135-LE18,76199986-9,61602054-4,1,2018-10-12,18340.8071232,2018-09-29,2018-10-25,2018-11-17
1155-121-LE18,76199986-9,61602057-9,1,2018-11-30,35567.672404824,2018-11-17,2018-12-13,2019-01-01
1155-126-LE18,76199986-9,61602057-9,1,2018-12-11,15215.715953536,2018-11-28,2018-12-24,2019-01-19
1155-17-LE19,76199986-9,61602057-9,1,2019-03-29,1898.297241026,2019-03-16,2019-04-11,2019-04-28
839-1-LE19,76199986-9,61603000-0,0,2019-04-11,24121.321844344,2019-03-29,2019-04-24,2019-05-23
956-71-L119,76199986-9,61606500-9,0,2019-09-25,3217.64448,2019-09-12,2019-10-08,2019-10-26
873299-105-LE19,76199986-9,61602054-4,0,2019-10-07,26640.86982,2019-09-24,2019-10-20,2019-11-06
2123-33-LE19,76199986-9,61601000-K,1,2019-10-21,22462.84128,2019-10-08,2019-11-03,2019-11-23
873299-112-LE19,76199986-9,61602054-4,1,2019-10-29,10938.53442,2019-10-16,2019-11-11,2019-12-04
1155-18-L120,76199986-9,61602057-9,0,2020-03-23,3901.381695,2020-03-10,2020-04-05,2020-04-24
956-10-LE20,76199986-9,61606500-9,1,2020-03-24,1502.936402,2020-03-11,2020-04-06,2020-04-28
4968-12-LE20,76199986-9,61606604-8,1,2020-05-18,6818.117961,2020-05-05,2020-05-31,2020-06-18
956-20-LE21,76199986-9,61606500-9,1,2021-05-05,13738.838057804,2021-04-22,2021-05-18,2021-06-04
1155-15-LE21,76199986-9,61602057-9,1,2021-04-26,9245.54291,2021-04-13,2021-05-09,2021-06-01
2123-14-L121,76199986-9,61601000-K,0,2021-08-11,3577.9081898,2021-07-29,2021-08-24,2021-09-15
5184-117-LE18,76200017-2,61606917-9,1,2018-09-12,2574.621768,2018-08-30,2018-09-25,2018-10-14
1671-20-L119,76200017-2,61601000-K,1,2019-06-30,2829.094824,2019-06-17,2019-07-13,2019-07-31
2102-64-L119,76200017-2,61602212-1,1,2019-09-09,1879.2472,2019-08-27,2019-09-22,2019-10-09
2078-76-LE19,76200017-2,61601000-K,0,2019-09-24,2547.3592,2019-09-11,2019-10-07,2019-10-26
1057545-49-LP20,76200083-0,61607500-4,0,2020-06-29,1201.87724057,2020-06-04,2020-06-30,2020-07-23
5074-72-LE18,76200087-3,61607901-8,1,2018-11-19,12770.04464,2018-11-06,2018-12-02,2018-12-23
5692-33-LE18,76200087-3,61607900-K,1,2018-12-10,7202.01968784,2018-11-27,2018-12-23,2019-01-17
2164-74-LE18,76200268-K,61608406-2,0,2018-09-20,24421.4150334,2018-09-07,2018-10-03,2018-10-21
1057496-21-LP19,76200268-K,61608105-5,0,2019-06-20,0,2019-06-06,2019-07-02,2019-07-24
1057972-1-LE20,76200268-K,61608108-K,1,2020-03-09,11633.02733451,2020-02-25,2020-03-22,2020-04-15
2111-37-LP20,76200268-K,61608602-2,0,2020-07-08,0,2020-06-23,2020-07-19,2020-08-08
1057476-7-LE20,76200268-K,61608003-2,0,2020-06-15,45527.01700188,2020-06-01,2020-06-27,2020-07-19
1952-1-L118,76200358-9,61602248-2,1,2018-01-15,4606.0264467,2018-01-02,2018-01-28,2018-02-20
1685-8-LE18,76200358-9,61601000-K,0,2018-04-03,0,2018-03-21,2018-04-16,2018-05-05
1057402-155-LQ20,76200398-8,61607901-8,0,2020-08-10,35937.43104,2020-07-25,2020-08-20,2020-09-09
1511-34-LE20,76200654-5,61606911-K,0,2020-05-05,30289.9731,2020-04-23,2020-05-19,2020-06-08
608-112-LE20,76200654-5,61606602-1,0,2020-06-03,60824.817,2020-05-26,2020-06-21,2020-07-13
1514-53-LE18,76200688-K,61602275-K,1,2018-06-11,29312.99563404,2018-05-29,2018-06-24,2018-07-09
162-6-L119,76200688-K,61601000-K,0,2019-02-25,4856.8392,2019-02-15,2019-03-13,2019-04-08
1057429-13-L119,76200688-K,61602201-6,0,2019-04-15,4638.99213372,2019-04-02,2019-04-28,2019-05-24
1626-89-L119,76200688-K,61602150-8,0,2019-09-11,2591.9,2019-08-28,2019-09-23,2019-10-13
2099-45-LE19,76200688-K,61601000-K,0,2019-10-27,17149.35,2019-10-15,2019-11-10,2019-12-02
1626-102-L119,76200688-K,61602150-8,0,2019-10-25,2586.9,2019-10-11,2019-11-06,2019-11-27
1057545-36-LE21,76200688-K,61607500-4,1,2021-07-28,13262.992550356,2021-07-15,2021-08-10,2021-09-03
1952-35-LP19,76200853-K,61602248-2,0,2019-03-18,112232.493418,2019-03-01,2019-03-27,2019-04-16
1950-72-LP19,76200853-K,61602238-5,1,2019-09-02,28438.20048,2019-08-20,2019-09-15,2019-10-07
2212-19-LE18,76201062-3,61608108-K,1,2018-04-06,19246.37439,2018-03-24,2018-04-19,2018-05-14
1057501-105-LQ19,76201062-3,61608502-6,1,2019-08-14,170114.693861628,2019-08-01,2019-08-27,2019-09-13
757-61-LE20,76201062-3,61601000-K,0,2020-09-03,7446.66373968,2020-08-21,2020-09-16,2020-10-03
2199-20-LE21,76201062-3,61608403-8,0,2021-10-20,8914.410533248,2021-10-07,2021-11-02,2021-11-23
705291-19-LE18,76201093-3,61608205-1,0,2018-06-24,36427.75806,2018-06-12,2018-07-08,2018-07-26
4375-253-LP20,76201093-3,61602189-3,0,2021-01-05,61085.716,2020-12-23,2021-01-18,2021-02-02
1057402-307-LE20,76201093-3,61607901-8,0,2021-01-07,10291.74052,2020-12-25,2021-01-20,2021-02-06
769-3-LP18,76201119-0,61606200-K,1,2018-04-01,11202.69918,2018-03-19,2018-04-14,2018-05-01
2122-9-L118,76201119-0,61601000-K,1,2018-02-12,1417.81422,2018-01-30,2018-02-25,2018-03-16
2122-23-L118,76201119-0,61601000-K,0,2018-04-01,1945.71795,2018-03-15,2018-04-10,2018-04-26
2122-3-LE19,76201119-0,61601000-K,0,2019-02-07,4080.0915,2019-01-25,2019-02-20,2019-03-14
1613-4-LE19,76201119-0,61603000-0,0,2019-09-23,9665.661071,2019-09-10,2019-10-06,2019-10-28
1556-3-L118,76201127-1,61606305-7,1,2018-02-14,4010.522224926,2018-02-01,2018-02-27,2018-03-18
1556-18-L118,76201127-1,61606305-7,0,2018-05-31,8095.7397927,2018-05-18,2018-06-13,2018-07-01
1557-11-L120,76201127-1,61606309-K,0,2020-05-04,3545.0199765498,2020-04-20,2020-05-16,2020-06-09
1524-94-LE18,76201296-0,61607600-0,1,2019-01-18,0,2019-01-05,2019-01-31,2019-02-22
1524-94-LE18,76201296-0,61607600-0,0,2019-01-18,0,2019-01-05,2019-01-31,2019-02-22
1398-71-L120,76201296-0,61606800-8,0,2020-11-05,3013.997431863,2020-10-24,2020-11-19,2020-12-09
734-33-L121,76201296-0,61607800-3,0,2021-06-30,3994.69423766,2021-06-17,2021-07-13,2021-07-28
2125-62-LE18,76201365-7,61606407-K,0,2018-06-13,0,2018-05-26,2018-06-21,2018-07-12
2125-86-LE18,76201365-7,61606407-K,1,2018-08-10,,2018-07-28,2018-08-23,2018-09-11
2066-7-L118,76201380-0,61602240-7,0,2018-03-28,2023.839362442,2018-03-14,2018-04-09,2018-04-30
5139-13-L118,76201640-0,61606917-9,0,2018-09-28,6013.097133804,2018-09-17,2018-10-13,2018-10-29
359-48-R118,76201774-1,61608404-6,0,2018-06-15,29950.0791655,2018-06-01,2018-06-27,2018-07-15
884-138-LP18,76201774-1,61608500-K,0,2019-01-07,102578.371426752,2018-12-24,2019-01-19,2019-02-10
2069-184-LE18,76201774-1,61608101-2,1,2019-01-23,25594.434829632,2019-01-10,2019-02-05,2019-02-24
1057476-2-LE19,76201774-1,61608003-2,0,2019-01-29,35162.96207425,2019-01-11,2019-02-06,2019-03-04
1057500-14-LP19,76201774-1,61608500-K,0,2019-04-08,60743.402464315,2019-03-24,2019-04-19,2019-05-05
1057049-75-LE19,76201774-1,61608604-9,1,2019-04-18,8117.5258295,2019-04-05,2019-05-01,2019-05-18
359-15-LE20,76201774-1,61608404-6,0,2020-04-06,51504.289096875,2020-03-24,2020-04-19,2020-05-06
1660-153-L119,76202140-4,61606408-8,0,2019-08-21,1325.76650592,2019-08-07,2019-09-02,2019-09-25
1951-35-L119,76202140-4,61602246-6,0,2019-12-03,1342.6473906,2019-11-19,2019-12-15,2020-01-01
1057049-243-LE20,76202140-4,61608604-9,1,2020-10-20,5001.519,2020-10-07,2020-11-02,2020-11-24
1552-59-L121,76202399-7,61606300-6,0,2021-11-30,8952.654,2021-11-18,2021-12-14,2021-12-30
2204-28-LE18,76202425-K,61607302-8,0,2018-08-22,11599.821251458,2018-08-13,2018-09-08,2018-10-01
2270-4-LE19,76202436-5,61601000-K,1,2019-05-07,5095.7204,2019-04-24,2019-05-20,2019-06-13
2115-21-LE19,76202492-6,65061030-K,0,2019-06-17,9865.398,2019-06-04,2019-06-30,2019-07-23
359-63-LQ18,76202824-7,61608404-6,1,2018-07-26,1201.532786,2018-07-13,2018-08-08,2018-08-28
1973-3-LE19,76202824-7,61953200-7,1,2019-01-25,1201.772364,2019-01-12,2019-02-07,2019-02-26
2252-41-LQ19,76202824-7,61608408-9,1,2019-03-11,1201.34084104,2019-02-26,2019-03-24,2019-04-15
2153-24-LP19,76202824-7,61608503-4,1,2019-04-05,0,2019-03-23,2019-04-18,2019-05-06
1057494-16-R119,76202824-7,61608102-0,0,2019-05-05,27617.1797032,2019-04-23,2019-05-19,2019-06-09
2111-72-LR19,76202824-7,61608602-2,1,2019-09-26,,2019-09-13,2019-10-09,2019-10-28
1643-82-LQ19,76202824-7,61602122-2,1,2019-08-09,0,2019-07-27,2019-08-22,2019-09-07
1057480-29-LR19,76202824-7,61602123-0,1,2019-12-20,161142.276,2019-12-07,2020-01-02,2020-01-21
359-22-LQ20,76202824-7,61608404-6,1,2020-05-10,0,2020-04-27,2020-05-23,2020-06-17
2109-3-LQ21,76202824-7,61608203-5,0,2021-02-14,0,2021-02-02,2021-02-28,2021-03-19
1057491-22-LR21,76202824-7,61608408-9,0,2021-03-22,1218.2667012,2021-03-09,2021-04-04,2021-04-29
2153-23-LP21,76202824-7,61608503-4,1,2021-03-07,0,2021-02-22,2021-03-20,2021-04-08
1057501-74-LR21,76202824-7,61608502-6,0,2021-05-30,0,2021-05-18,2021-06-13,2021-07-06
1075963-173-LE20,76203131-0,61606001-5,0,2020-05-26,28943.7924,2020-05-13,2020-06-08,2020-06-28
1075963-207-LQ20,76203131-0,61606001-5,1,2020-08-10,463623.4944,2020-07-28,2020-08-23,2020-09-15
3950-18-L120,76203197-3,61974600-7,0,2020-04-05,5350.46724,2020-03-24,2020-04-19,2020-05-13
912638-78-CO18,76203379-8,61607301-K,1,2018-12-03,24022.647986358,2018-11-20,2018-12-16,2019-01-01
5056-53-LP18,76203431-K,61606901-2,1,2018-11-06,1672.78464,2018-10-24,2018-11-19,2018-12-13
1075963-30-LE21,76203475-1,61606001-5,1,2021-02-05,7301.7701213,2021-01-23,2021-02-18,2021-03-08
2123-26-L119,76203483-2,61601000-K,0,2019-08-26,2058.199475,2019-08-11,2019-09-06,2019-09-27
968521-12-L119,76203483-2,61606912-8,0,2019-08-12,3441.8272,2019-07-30,2019-08-25,2019-09-12
2101-39-LE18,76203524-3,61602213-K,0,2018-05-17,4904.29152192,2018-05-04,2018-05-30,2018-06-23
924-39-L119,76203620-7,61601000-K,1,2019-05-29,5535.237,2019-05-16,2019-06-11,2019-06-25
812261-99-LQ19,76203968-0,65075485-9,1,2019-11-06,34762.98,2019-10-24,2019-11-19,2019-12-09
2026-55-L119,76204032-8,61606600-5,0,2019-04-11,2563.50214,2019-03-29,2019-04-24,2019-05-14
1380-86-L119,76204032-8,61602232-6,1,2019-04-15,1829.350633912,2019-04-02,2019-04-28,2019-05-15
1660-71-L119,76204032-8,61606408-8,0,2019-04-23,1253.940744,2019-04-10,2019-05-06,2019-05-21
2086-122-L119,76204032-8,61606203-4,0,2019-11-19,1589.682228,2019-11-14,2019-12-10,2019-12-24
