id_tender,amt_payment_value,dt_payment,id_payment
1655-12-LE21,10729.9,2021-05-26,10162-75
1383-10-L121,1057.11,2021-08-12,10163-71
1383-10-L121,344.63,2021-06-27,10164-25
4375-203-LE20,51886.92,2021-02-08,10165-65
502-95-LE18,19826.52,2018-07-23,10166-22
502-95-LE18,4906.44,2018-09-26,10167-87
502-95-LE18,3298.99,2018-09-28,10168-89
1523-2-LP19,52758.07,2019-03-11,10169-10
1523-32-LP19,34275.14,2019-06-04,10170-41
1523-32-LP19,7366.06,2019-07-13,10171-80
1523-32-LP19,2020.76,2019-07-23,10172-90
1523-32-LP19,9959.57,2019-06-04,10173-41
5349-42-LE19,486.8,2019-10-29,10174-53
5349-42-LE19,6592.83,2019-11-23,10175-78
5349-42-LE19,315.17,2019-10-07,10176-31
1979-131-LE19,899.22,2020-03-02,10177-88
1979-131-LE19,4907.03,2020-02-18,10178-75
1979-131-LE19,4304.33,2020-01-17,10179-43
1979-131-LE19,2096.52,2019-12-16,10180-11
1979-131-LE19,647.53,2020-01-10,10181-36
1057402-72-LE19,2485.25,2019-11-14,10182-69
1057402-72-LE19,14019.54,2019-09-03,10183--3
1540-65-LE20,2907.92,2020-10-18,10184-92
1540-65-LE20,918.96,2020-10-24,10185-98
1080089-27-LE20,2127.66,2020-12-10,10186-31
1080089-27-LE20,686.59,2021-01-10,10187-62
1080089-27-LE20,25.09,2021-03-11,10188-122
1057402-258-LE20,7112.81,2021-02-04,10189-37
1057402-258-LE20,2101.52,2021-01-21,10190-23
1057402-258-LE20,4419.65,2021-02-02,10191-35
1057402-258-LE20,501.41,2021-03-27,10192-88
1057402-258-LE20,3449.78,2021-01-19,10193-21
2099-14-L119,42.5,2019-07-30,10194-91
2099-14-L119,4302.73,2019-06-26,10195-57
2099-28-L119,1974.13,2019-10-22,10196-69
2099-28-L119,1321.32,2019-10-02,10197-49
2099-28-L119,104.16,2019-11-06,10198-84
2099-28-L119,544.95,2019-12-14,10199-122
2099-28-L119,1988.64,2019-09-10,10200-27
1057508-20-L119,342.72,2019-05-23,10201-21
1057508-20-L119,233.46,2019-08-17,10202-107
1057508-20-L119,321.83,2019-07-06,10203-65
1057508-20-L119,2260.72,2019-06-29,10204-58
1057508-20-L119,212.98,2019-06-08,10205-37
1057508-79-L119,2267.76,2019-12-11,10206-63
1057508-79-L119,100.05,2019-12-28,10207-80
1057508-79-L119,551.96,2019-10-30,10208-21
1057508-79-L119,310.24,2019-11-29,10209-51
1057508-79-L119,211.82,2019-11-28,10210-50
1057508-7-LP20,94096.17,2020-04-28,10211-42
1499-55-LQ18,374257.83,2018-07-17,10212-57
1499-52-LQ19,171193.98,2019-09-12,10213-91
1499-52-LQ19,105492.19,2019-06-30,10214-17
1511-59-L119,1001.21,2020-01-22,10215-54
1511-59-L119,716.48,2020-01-23,10216-55
1511-59-L119,2829.92,2020-02-08,10217-71
1464-67-LE20,5846.81,2020-10-17,10218-26
1464-67-LE20,1294.48,2020-11-07,10219-47
1464-67-LE20,40.24,2020-09-29,10220-8
1523-74-LE18,37720.27,2019-01-03,10221-102
1523-74-LE18,8112.72,2019-01-07,10222-106
1523-74-LE18,4738.36,2018-12-11,10223-79
1523-63-LP19,12759.68,2019-09-27,10224-52
1523-63-LP19,46018.02,2019-08-19,10225-13
1523-63-LP19,13169.41,2019-09-23,10226-48
1523-63-LP19,34537.47,2019-11-21,10227-107
1523-73-LP21,26012.89,2021-08-25,10228-9
1523-73-LP21,6154.13,2021-10-07,10229-52
1523-73-LP21,5835.42,2021-10-13,10230-58
1523-73-LP21,18113.46,2021-08-10,10231--6
1523-73-LP21,42227.06,2021-09-11,10232-26
1057049-302-LE20,447.71,2021-02-07,10233-42
1057049-302-LE20,697.83,2021-01-28,10234-32
1057049-302-LE20,133.11,2021-04-03,10235-97
2085-10-LE19,9999.15,2019-07-14,10236-71
2085-24-L119,81.69,2019-08-12,10237-0
2085-24-L119,3365.35,2019-10-30,10238-79
2085-24-L119,2028.48,2019-10-16,10239-65
2085-24-L119,534.56,2019-09-26,10240-45
1075963-251-L121,3058.53,2021-10-08,10241-28
1075963-251-L121,65.55,2021-10-19,10242-39
2202-35-L121,269.82,2021-10-31,10243-39
2202-35-L121,84.56,2021-12-29,10244-98
2202-35-L121,774.39,2021-11-05,10245-44
2202-35-L121,673.07,2021-11-27,10246-66
2202-35-L121,937.42,2021-11-13,10247-52
1175-118-L121,3039.07,2021-12-06,10248-60
1175-118-L121,242.65,2021-11-28,10249-52
1175-118-L121,868.54,2021-11-23,10250-47
924-53-L121,3114.18,2021-11-18,10251-7
873299-135-LE18,4617.73,2018-12-22,10252-35
873299-135-LE18,13723.07,2018-12-19,10253-32
1155-121-LE18,35567.67,2019-02-07,10254-37
1155-126-LE18,15215.72,2019-02-20,10255-32
1155-17-LE19,1898.3,2019-06-24,10256-57
2123-33-LE19,4214.85,2020-01-03,10257-41
2123-33-LE19,18247.99,2020-03-10,10258-108
873299-112-LE19,2374.09,2019-12-17,10259-13
873299-112-LE19,7894.94,2019-11-26,10260--8
873299-112-LE19,669.5,2020-03-22,10261-109
956-10-LE20,911.34,2020-07-17,10262-80
956-10-LE20,591.6,2020-06-02,10263-35
4968-12-LE20,879.09,2020-08-02,10264-45
4968-12-LE20,516.29,2020-07-29,10265-41
4968-12-LE20,5422.74,2020-08-21,10266-64
956-20-LE21,477.09,2021-09-13,10267-101
956-20-LE21,13261.75,2021-09-28,10268-116
1155-15-LE21,9245.54,2021-07-27,10269-56
5184-117-LE18,1051.86,2018-12-28,10270-75
5184-117-LE18,281.28,2019-01-18,10271-96
5184-117-LE18,480.6,2018-11-24,10272-41
5184-117-LE18,59.46,2019-03-17,10273-154
5184-117-LE18,701.42,2018-11-09,10274-26
1671-20-L119,2829.09,2019-09-08,10275-39
2102-64-L119,463.78,2019-10-05,10276--4
2102-64-L119,221.57,2019-12-18,10277-70
2102-64-L119,128.2,2019-12-04,10278-56
2102-64-L119,610.44,2019-12-10,10279-62
2102-64-L119,455.25,2019-12-05,10280-57
5074-72-LE18,445.79,2019-01-29,10281-37
5074-72-LE18,3371.92,2019-01-11,10282-19
5074-72-LE18,2124.29,2019-02-17,10283-56
5074-72-LE18,6828.04,2019-01-19,10284-27
5692-33-LE18,1027.62,2019-01-14,10285--3
5692-33-LE18,3277.91,2019-03-22,10286-64
5692-33-LE18,376.88,2019-03-09,10287-51
5692-33-LE18,2519.61,2019-02-09,10288-23
1057972-1-LE20,1573.16,2020-05-14,10289-29
1057972-1-LE20,3336.96,2020-04-16,10290-1
1057972-1-LE20,6722.91,2020-06-02,10291-48
1952-1-L118,1565.82,2018-05-12,10292-81
1952-1-L118,35.93,2018-02-19,10293--1
1952-1-L118,1276.01,2018-03-20,10294-28
1952-1-L118,1151.34,2018-03-20,10295-28
1952-1-L118,576.93,2018-06-11,10296-111
1514-53-LE18,29313,2018-09-01,10297-54
1057545-36-LE21,10707.82,2021-10-01,10298-28
1057545-36-LE21,880.31,2021-09-03,10299-0
1057545-36-LE21,914.17,2021-10-21,10300-48
1057545-36-LE21,760.68,2021-12-01,10301-89
1950-72-LP19,18427.76,2019-11-30,10302-54
1950-72-LP19,8865,2020-01-22,10303-107
1950-72-LP19,231.9,2019-12-04,10304-58
1950-72-LP19,913.53,2019-10-01,10305--6
2212-19-LE18,917.95,2018-06-17,10306-34
2212-19-LE18,5259.19,2018-06-14,10307-31
2212-19-LE18,2369.15,2018-07-20,10308-67
2212-19-LE18,4387.83,2018-07-09,10309-56
2212-19-LE18,6312.26,2018-07-14,10310-61
1057501-105-LQ19,24793.36,2019-11-05,10311-53
1057501-105-LQ19,36334.64,2019-12-02,10312-80
1057501-105-LQ19,75227.86,2019-11-03,10313-51
1057501-105-LQ19,33758.84,2019-12-17,10314-95
769-3-LP18,968.06,2018-06-06,10315-36
769-3-LP18,405.25,2018-07-08,10316-68
769-3-LP18,4163.55,2018-06-18,10317-48
769-3-LP18,5665.84,2018-06-08,10318-38
2122-9-L118,708.9,2018-04-06,10319-21
2122-9-L118,708.91,2018-03-26,10320-10
1556-3-L118,4010.52,2018-04-21,10321-34
1524-94-LE18,0,2019-02-07,10322--15
2069-184-LE18,2760.26,2019-04-12,10323-47
2069-184-LE18,22834.18,2019-05-20,10324-85
1057049-75-LE19,344.87,2019-07-24,10325-67
1057049-75-LE19,5206.97,2019-07-19,10326-62
1057049-75-LE19,1669.86,2019-07-04,10327-47
1057049-75-LE19,895.82,2019-06-19,10328-32
1057049-243-LE20,5001.52,2021-02-08,10329-76
2270-4-LE19,1766.87,2019-07-20,10330-37
2270-4-LE19,136.33,2019-08-23,10331-71
2270-4-LE19,784.96,2019-07-19,10332-36
2270-4-LE19,281.42,2019-08-05,10333-53
2270-4-LE19,2126.15,2019-09-14,10334-93
359-63-LQ18,1201.53,2018-11-09,10335-73
1973-3-LE19,1201.77,2019-04-12,10336-45
2252-41-LQ19,505.39,2019-05-03,10337-18
2252-41-LQ19,428.39,2019-07-04,10338-80
2252-41-LQ19,267.56,2019-08-24,10339-131
2153-24-LP19,0,2019-07-31,10340-86
2153-24-LP19,0,2019-06-27,10341-52
2153-24-LP19,0,2019-05-22,10342-16
2153-24-LP19,0,2019-07-05,10343-60
2153-24-LP19,0,2019-06-22,10344-47
1643-82-LQ19,0,2019-10-04,10345-27
1643-82-LQ19,0,2019-11-01,10346-55
1643-82-LQ19,0,2019-09-21,10347-14
1643-82-LQ19,0,2019-09-17,10348-10
1057480-29-LR19,3019.39,2020-03-22,10349-61
1057480-29-LR19,57197.88,2020-03-24,10350-63
1057480-29-LR19,100925,2020-02-26,10351-36
359-22-LQ20,0,2020-07-26,10352-39
359-22-LQ20,0,2020-06-24,10353-7
359-22-LQ20,0,2020-08-04,10354-48
359-22-LQ20,0,2020-07-29,10355-42
359-22-LQ20,0,2020-07-06,10356-19
2153-23-LP21,0,2021-05-16,10357-38
1075963-207-LQ20,91025.02,2020-10-04,10358-19
1075963-207-LQ20,19115.47,2020-12-07,10359-83
1075963-207-LQ20,67285.67,2020-11-02,10360-48
1075963-207-LQ20,286197.34,2021-01-02,10361-109
912638-78-CO18,17614.19,2019-04-17,10362-106
912638-78-CO18,6408.46,2019-04-17,10363-106
5056-53-LP18,1672.78,2019-01-12,10364-30
1075963-30-LE21,7288.23,2021-06-10,10365-94
1075963-30-LE21,13.54,2021-05-13,10366-66
924-39-L119,1777.96,2019-09-09,10367-76
924-39-L119,1194.93,2019-08-02,10368-38
924-39-L119,1860.97,2019-05-12,10369--44
924-39-L119,701.38,2019-08-18,10370-54
812261-99-LQ19,9768.15,2020-02-05,10371-58
812261-99-LQ19,11440.28,2020-03-01,10372-83
812261-99-LQ19,13554.56,2020-02-05,10373-58
1380-86-L119,1721.78,2019-07-04,10374-50
1380-86-L119,107.57,2019-08-09,10375-86
4855-176-LE18,1203.97,2018-10-26,10376-66
4309-121-LQ19,28263.33,2019-08-28,10377-51
4309-121-LQ19,1568.07,2019-08-28,10378-51
4309-121-LQ19,36899.88,2019-08-01,10379-24
4309-121-LQ19,73196.3,2019-11-14,10380-129
1380-124-LP19,39367.88,2019-09-27,10381-54
1380-124-LP19,15481.08,2019-10-18,10382-75
1380-124-LP19,17060.69,2019-12-05,10383-123
1057055-154-LP19,6498.29,2020-02-04,10384-68
1057055-154-LP19,28669.3,2019-12-16,10385-18
1057055-154-LP19,40344.58,2020-02-05,10386-69
1057055-154-LP19,4153.09,2019-12-07,10387-9
1660-132-L118,402.25,2018-08-25,10388-41
1660-132-L118,457.86,2018-09-07,10389-54
1660-132-L118,151.64,2018-08-28,10390-44
1660-132-L118,73.5,2018-09-03,10391-50
1660-132-L118,179.2,2018-09-26,10392-73
3950-25-L118,831.05,2018-09-07,10393-43
3950-25-L118,939.86,2018-09-06,10394-42
3950-25-L118,1315.45,2018-10-07,10395-73
2207-358-L118,958.23,2019-01-31,10396-50
2207-358-L118,307.29,2019-01-15,10397-34
1624-11-L119,1220.22,2019-04-27,10398-26
1660-67-L119,239.62,2019-08-28,10399-97
1660-67-L119,1128.94,2019-07-10,10400-48
2188-36-L119,29.15,2019-07-22,10401-55
2188-36-L119,275.56,2019-07-03,10402-36
2188-36-L119,605.54,2019-06-26,10403-29
2188-36-L119,815.67,2019-05-28,10404-0
1057541-17-L119,2574.5,2019-08-31,10405-28
886954-259-LE19,23677.16,2020-02-25,10406-47
886954-259-LE19,39922.36,2020-02-23,10407-45
1660-24-L120,250.18,2020-03-22,10408-7
1660-24-L120,1329.16,2020-04-12,10409-28
2122-7-L120,0,2020-10-12,10410-98
2122-7-L120,0,2020-11-24,10411-141
2125-53-LE18,3524.48,2018-10-17,10412-114
1660-146-LE20,249.51,2021-01-13,10413-28
1660-146-LE20,105.13,2021-03-27,10414-101
1660-146-LE20,839.63,2021-03-11,10415-85
1660-146-LE20,398.97,2020-12-24,10416-8
2115-5-L119,186.82,2019-05-25,10417-63
2115-5-L119,486.43,2019-05-06,10418-44
2115-5-L119,937,2019-05-31,10419-69
2115-5-L119,649.88,2019-05-05,10420-43
2115-5-L119,481.27,2019-05-31,10421-69
2111-19-LP19,0,2019-05-22,10422-31
2111-19-LP19,0,2019-05-12,10423-21
1640-4-LE18,21689.89,2018-04-23,10424-59
1640-4-LE18,6081.37,2018-06-16,10425-113
1640-4-LE18,10355.24,2018-03-31,10426-36
1640-4-LE18,1882.58,2018-03-14,10427-19
2111-99-LQ19,0,2020-03-28,10428-99
2111-99-LQ19,0,2020-01-18,10429-29
2111-99-LQ19,0,2020-03-02,10430-73
2111-99-LQ19,0,2020-01-23,10431-34
1057402-236-LE20,979.98,2021-01-14,10432-32
1057402-236-LE20,15414.64,2021-02-12,10433-61
2104-10-LE18,8136.55,2018-05-29,10434-47
2196-14-LE18,205,2018-06-15,10435-53
2196-14-LE18,2739.49,2018-06-26,10436-64
2196-14-LE18,1330.17,2018-05-04,10437-11
2196-14-LE18,525.2,2018-05-14,10438-21
2196-14-LE18,4354.45,2018-08-21,10439-120
1057492-23-LE19,684.16,2019-04-19,10440--2
1057492-23-LE19,4559.7,2019-06-17,10441-57
1057492-16-LE20,3265.88,2020-02-29,10442--26
1057492-16-LE20,1372.67,2020-04-20,10443-25
1057492-16-LE20,778.81,2020-05-21,10444-56
1057492-16-LE20,3620.91,2020-06-07,10445-73
2196-7-LE21,2445.33,2021-06-11,10446-38
2196-7-LE21,987.15,2021-06-16,10447-43
2196-7-LE21,2945.29,2021-05-29,10448-25
2196-7-LE21,181.77,2021-07-18,10449-75
1947-172-LE19,3005.16,2020-04-02,10450-94
1947-172-LE19,5871.42,2020-02-27,10451-59
1952-51-LE18,2375.9,2018-05-25,10452--14
1952-51-LE18,398.22,2018-06-14,10453-6
1952-51-LE18,1159.06,2018-07-09,10454-31
1952-51-LE18,1339.52,2018-07-06,10455-28
3949-27-LE19,943.87,2019-11-08,10456-16
3949-27-LE19,1554.18,2020-01-28,10457-97
3949-27-LE19,82.9,2020-02-09,10458-109
3949-27-LE19,3795.24,2019-12-05,10459-43
3949-27-LE19,4631.8,2019-11-08,10460-16
1663-132-LE19,197.2,2020-03-28,10461-63
1663-132-LE19,923.55,2020-03-15,10462-50
1663-132-LE19,326.71,2020-03-20,10463-55
1663-132-LE19,1807.22,2020-02-16,10464-22
1663-132-LE19,1060.62,2020-04-09,10465-75
2146-11-R121,483.04,2021-04-11,10466-20
2146-11-R121,3041.82,2021-06-21,10467-91
1057428-4-L121,6287.79,2021-07-24,10468-52
1057428-4-L121,563.16,2021-07-16,10469-44
5184-99-LE21,16926.77,2021-09-04,10470-11
2207-238-L119,2386.88,2019-09-21,10471-63
2207-238-L119,1412.74,2019-08-26,10472-37
838-3-LE21,12973.35,2021-10-12,10473-90
838-3-LE21,1990.43,2021-09-23,10474-71
1660-131-L119,119.77,2019-10-05,10475-41
1660-131-L119,926.97,2019-10-04,10476-40
1660-131-L119,226.14,2019-12-23,10477-120
2193-1-L118,133.86,2018-03-04,10478-14
2193-1-L118,51.41,2018-05-06,10479-77
2193-1-L118,620.93,2018-02-14,10480--4
2193-1-L118,690.73,2018-03-28,10481-38
2190-12-L118,42.61,2018-04-21,10482-28
2190-12-L118,799.93,2018-06-11,10483-79
2190-12-L118,1045.73,2018-04-09,10484-16
2190-12-L118,41.59,2018-03-10,10485--14
1626-10-L118,618.59,2018-06-18,10486-80
1626-10-L118,1118.4,2018-05-24,10487-55
1626-10-L118,1259.14,2018-05-15,10488-46
1626-77-L118,1230.63,2018-10-05,10489-62
1626-77-L118,861.26,2018-08-07,10490-3
1626-77-L118,1214.55,2018-11-08,10491-96
5483-43-L118,436.77,2018-10-13,10492-11
5483-43-L118,392.45,2018-10-23,10493-21
5483-43-L118,1781.06,2018-11-20,10494-49
1626-113-L118,2294.82,2018-12-02,10495--17
1626-113-L118,357.83,2018-12-08,10496--11
1626-113-L118,406.82,2019-04-01,10497-103
1057385-9-R119,1712.38,2019-06-21,10498-19
1057385-9-R119,26.43,2019-08-23,10499-82
1660-291-L119,1971.06,2020-03-25,10500-50
1660-291-L119,144.97,2020-04-02,10501-58
1660-291-L119,120.34,2020-03-08,10502-33
831756-96-LP18,14976.56,2018-07-24,10503-12
1021609-8-LE18,1340.36,2019-01-24,10504-71
2111-42-LQ19,28097.39,2019-07-01,10505-22
2111-42-LQ19,191381.03,2019-07-23,10506-44
2111-42-LQ19,29421.07,2019-08-16,10507-68
1057489-196-LE20,1457.95,2020-12-15,10508-106
1057489-196-LE20,510.13,2020-10-03,10509-33
1057489-196-LE20,361.13,2020-10-26,10510-56
1660-187-L118,135.75,2018-11-12,10511-60
1660-187-L118,20.31,2018-10-20,10512-37
1660-187-L118,389.43,2018-10-18,10513-35
1660-187-L118,661.67,2018-08-08,10514--36
1660-187-L118,78.28,2018-12-30,10515-108
2066-20-L118,89.35,2018-11-16,10516-41
2066-20-L118,1168.79,2018-11-30,10517-55
2066-20-L118,648.9,2018-11-12,10518-37
635-125-L119,1620.33,2019-11-07,10519-106
635-125-L119,1795.34,2019-09-02,10520-40
635-125-L119,1059.57,2019-11-12,10521-111
507428-109-L119,2287.17,2020-02-27,10522-52
1370-84-LE17,141.61,2018-04-22,10523-67
1370-84-LE17,211.51,2018-02-25,10524-11
1370-84-LE17,809.99,2018-04-26,10525-71
1370-84-LE17,1015.27,2018-04-26,10526-71
1370-84-LE17,3850.46,2018-04-09,10527-54
1514-3-LE18,44750.72,2018-03-15,10528-14
1514-3-LE18,1165.45,2018-04-23,10529-53
2126-21-LE18,3067.68,2018-05-24,10530-68
2126-21-LE18,1059.44,2018-05-05,10531-49
5074-45-LE18,1156.41,2018-09-09,10532-34
5074-45-LE18,4052.89,2018-10-04,10533-59
1554-81-LE18,916.1,2019-01-14,10534-40
1554-81-LE18,4938.4,2019-02-09,10535-66
1554-81-LE18,2715.05,2019-03-06,10536-91
1554-81-LE18,5163.3,2019-01-25,10537-51
1554-81-LE18,677.05,2019-04-02,10538-118
1950-132-LE18,9524.56,2019-02-28,10539-73
2061-8-LE19,4144.42,2019-06-01,10540-35
2061-8-LE19,2435.16,2019-06-28,10541-62
2157-50-LE19,1969.65,2019-06-28,10542-34
2157-50-LE19,1020.21,2019-08-31,10543-98
2157-50-LE19,1457.82,2019-06-05,10544-11
2080-207-LE20,1696.71,2020-07-24,10545-56
2080-207-LE20,1479.15,2020-07-31,10546-63
2080-207-LE20,740.2,2020-08-07,10547-70
2080-207-LE20,151.12,2020-06-09,10548-11
2080-207-LE20,58.22,2020-07-29,10549-61
4968-10-LE20,2469.77,2020-08-18,10550-74
4968-10-LE20,9695.41,2020-08-18,10551-74
4968-10-LE20,3280.81,2020-07-06,10552-31
1057402-167-LE20,4443.11,2020-10-16,10553-32
1057494-47-LE20,1388.44,2020-12-21,10554-54
1057494-47-LE20,1259.71,2020-12-05,10555-38
5053-91-LE20,3174.75,2021-03-10,10556-43
5053-91-LE20,1072.75,2021-03-04,10557-37
5053-91-LE20,124.4,2021-03-08,10558-41
1523-4-LE21,2882.66,2021-03-14,10559-18
1075337-5-LE21,293.41,2021-06-22,10560-87
1075337-5-LE21,9715.44,2021-05-08,10561-42
2199-8-LQ21,1201.8,2021-05-03,10562-21
1553-403-LE18,1213.76,2018-06-30,10563-54
1553-403-LE18,6776.4,2018-07-02,10564-56
1553-403-LE18,7372.72,2018-08-01,10565-86
1553-403-LE18,3122.65,2018-05-23,10566-16
1373-16-LE18,43624.74,2018-07-22,10567-25
1373-16-LE18,4057.66,2018-07-08,10568-11
1373-16-LE18,873.96,2018-09-12,10569-77
1373-16-LE18,319.3,2018-07-08,10570-11
1373-16-LE18,1421.09,2018-09-18,10571-83
4968-44-LE18,10597.67,2018-12-03,10572-116
4968-44-LE18,18064.49,2018-10-08,10573-60
1057476-15-LE19,15522.34,2019-09-09,10574-35
1057476-15-LE19,12159.76,2019-10-08,10575-64
619133-80-LE19,1397.4,2019-09-29,10576--13
619133-80-LE19,315.88,2019-11-25,10577-44
619133-80-LE19,60.51,2020-03-03,10578-143
619133-80-LE19,366.53,2019-12-17,10579-66
1063538-113-LP20,29312.15,2020-07-02,10580-16
1063538-113-LP20,500.52,2020-06-30,10581-14
1063538-113-LP20,7029.24,2020-07-01,10582-15
1057492-51-LE20,5589.83,2020-08-12,10583-26
359-34-LQ20,67495.83,2020-11-14,10584-20
359-34-LQ20,39940.55,2020-12-07,10585-43
359-34-LQ20,26394.01,2021-02-24,10586-122
359-34-LQ20,1582.21,2020-12-02,10587-38
1057491-73-LE21,20414.54,2021-08-11,10588-28
1057491-73-LE21,31852.34,2021-08-03,10589-20
362-15-LE20,134.04,2020-10-09,10590-44
362-15-LE20,448.09,2020-08-16,10591--10
362-15-LE20,739.1,2020-09-19,10592-24
1057461-46-LE20,277.97,2021-02-13,10593-66
1057461-46-LE20,519.94,2021-01-15,10594-37
1057461-46-LE20,828.38,2021-01-16,10595-38
1057461-46-LE20,254.12,2020-12-27,10596-18
1057461-46-LE20,56.57,2021-01-22,10597-44
1057461-50-LE20,821.68,2021-01-31,10598-42
1057461-50-LE20,1480.62,2021-01-14,10599-25
2115-65-L118,2870.12,2019-05-21,10600-121
2115-65-L118,881.12,2019-01-15,10601--5
2115-65-L118,1500.69,2019-02-18,10602-29
2115-65-L118,1000.23,2019-02-26,10603-37
2115-65-L118,1701.6,2019-02-07,10604-18
2115-35-L119,5388.7,2019-09-19,10605-18
1509-61-L119,296.78,2020-01-20,10606-16
1509-61-L119,2688.44,2020-03-12,10607-68
1509-61-L119,708.55,2020-01-25,10608-21
1509-61-L119,557.74,2020-04-08,10609-95
1057512-4-LE21,8506.02,2021-08-23,10610-117
1555-2-LE18,1133.03,2018-02-12,10611--10
1555-2-LE18,3748.21,2018-03-27,10612-33
1555-2-LE18,380.34,2018-05-21,10613-88
1555-2-LE18,833.39,2018-05-04,10614-71
1555-2-LE18,1078.5,2018-04-28,10615-65
5326-16-R118,1860.58,2018-04-11,10616-37
1553-514-L118,1068.02,2018-06-23,10617-34
1553-514-L118,89.88,2018-07-26,10618-67
1553-514-L118,116.96,2018-06-02,10619-13
1553-514-L118,136.01,2018-06-05,10620-16
1553-514-L118,2026.97,2018-07-20,10621-61
4309-129-LQ18,32127.13,2018-09-21,10622-96
4309-129-LQ18,88084.21,2018-06-29,10623-12
4309-129-LQ18,53960.45,2018-08-25,10624-69
4309-129-LQ18,77140.34,2018-07-17,10625-30
4309-147-LQ18,12979.68,2018-07-07,10626-6
4309-147-LQ18,45448,2018-07-25,10627-24
4309-147-LQ18,72696.98,2018-09-15,10628-76
4309-147-LQ18,48254.14,2018-07-24,10629-23
4309-147-LQ18,27879.85,2018-11-01,10630-123
1947-160-LE18,230.88,2018-12-25,10631-117
1947-160-LE18,36.58,2018-12-13,10632-105
1947-160-LE18,549.34,2018-09-26,10633-27
1947-160-LE18,415.38,2018-11-16,10634-78
5070-59-LP18,73202.93,2018-12-04,10635-48
4309-346-LQ18,169251.64,2019-05-05,10636-96
4309-346-LQ18,52938.7,2019-04-21,10637-82
1057055-71-LQ19,266405.91,2019-09-05,10638-94
1057055-71-LQ19,19838.69,2019-07-31,10639-58
1057055-71-LQ19,52041.49,2019-07-15,10640-42
1057055-71-LQ19,11380.26,2019-07-09,10641-36
4855-55-LE19,993.32,2019-07-05,10642-17
4855-55-LE19,212.03,2019-06-27,10643-9
5051-41-LE19,62.99,2019-10-28,10644-72
5051-41-LE19,789.49,2019-09-29,10645-43
5051-41-LE19,422.95,2019-11-12,10646-87
5051-41-LE19,253.78,2019-10-12,10647-56
5051-41-LE19,549.51,2019-09-13,10648-27
635-181-L119,5216.05,2019-12-04,10649-55
1057055-172-LP19,48091.39,2020-02-20,10650-67
1057055-172-LP19,8842.7,2020-01-02,10651-18
4309-11-R120,1268.62,2020-05-05,10652-41
1380-80-LP20,45533.06,2020-06-19,10653-58
1380-80-LP20,9860.02,2020-07-25,10654-94
2098-50-LE20,1505.16,2020-06-12,10655-18
2098-50-LE20,2319.22,2020-07-09,10656-45
2098-50-LE20,4410.68,2020-08-15,10657-82
4309-42-LE21,226.96,2021-05-17,10658-64
4309-42-LE21,591.46,2021-04-20,10659-37
4309-42-LE21,7.5,2021-04-27,10660-44
4309-42-LE21,95.96,2021-05-09,10661-56
4309-42-LE21,661.24,2021-06-19,10662-97
1058085-68-LQ21,267813.7,2021-08-20,10663-44
1398-73-L119,1444.97,2019-07-31,10664--3
2086-155-L118,405.05,2019-01-28,10665-46
2086-155-L118,675.85,2019-01-28,10666-46
2086-155-L118,730.49,2019-01-03,10667-21
2086-155-L118,570.56,2019-03-13,10668-90
2098-60-LE19,1045.24,2019-07-12,10669-29
2098-60-LE19,14030.64,2019-08-01,10670-49
1057534-28-LE19,2835.89,2019-09-20,10671-21
1057534-28-LE19,1285.97,2019-10-19,10672-50
1057534-28-LE19,690.46,2019-09-24,10673-25
757-3-L120,5647.79,2020-05-20,10674-55
956-14-L120,239.16,2020-09-04,10675-59
956-14-L120,247.55,2020-10-07,10676-92
956-14-L120,234.59,2020-09-15,10677-70
956-14-L120,655.03,2020-06-11,10678--26
956-14-L120,1040.51,2020-07-23,10679-16
4640-43-LP18,578.42,2018-09-10,10680-21
4640-43-LP18,271.66,2018-11-12,10681-84
4640-43-LP18,5.07,2018-10-02,10682-43
4640-43-LP18,205.57,2018-10-01,10683-42
4640-43-LP18,194.46,2018-09-23,10684-34
956-13-L118,1233.93,2018-06-14,10685-61
1057539-54-LR19,378830.96,2019-12-14,10686-73
2258-14-LP21,0,2021-06-07,10687-81
2258-14-LP21,0,2021-04-12,10688-25
2258-14-LP21,0,2021-03-25,10689-7
2258-14-LP21,0,2021-05-27,10690-70
1057417-108-LE21,959.73,2021-07-14,10691-12
1057417-108-LE21,703.58,2021-08-19,10692-48
1057530-2-R121,2039.86,2021-04-29,10693-63
1057530-2-R121,1368.16,2021-03-10,10694-13
1057530-2-R121,517.32,2021-03-23,10695-26
1057530-2-R121,1140.53,2021-03-26,10696-29
1057548-19-R119,0,2019-07-08,10697-47
1057548-19-R119,0,2019-09-04,10698-105
1398-140-LP18,22154.48,2019-01-04,10699-13
1398-140-LP18,89523.95,2019-01-22,10700-31
1541-27-LE19,1321.72,2019-11-12,10701-49
1541-27-LE19,54.35,2019-12-02,10702-69
1541-27-LE19,366.9,2019-10-01,10703-7
1541-27-LE19,844.16,2019-11-18,10704-55
1057498-42-LE20,1046.3,2021-02-14,10705-74
1057498-42-LE20,1728.85,2021-02-06,10706-66
1057498-42-LE20,3337.48,2021-01-05,10707-34
1057498-42-LE20,1729.6,2021-01-30,10708-59
1057498-42-LE20,6016.82,2020-12-22,10709-20
1057438-16-L121,938.81,2021-09-16,10710-80
1057438-16-L121,2799.86,2021-06-19,10711--9
